italian_original,italian,function,english
questo,questo,agg. – pron.,this
destra,la destra,sostantivo,right
ballare,ballare,verbo intransitivo,to dance
bello,bello/a/i/e,aggettivo,beautiful
le,le,articolo,the
chiamare/si,chiamare,verbo transitivo - verbo intransitivo pronominale,to call
grande,grande/i,aggettivo,big
rosso,rosso/a/i/e,aggettivo,red
trovare,trovare,verbo transitivo,to find
estero,l'estero,sostantivo,abroad
adesso,adesso,avverbio,now
parco,il parco,sostantivo,park
forchetta,la forchetta,sostantivo,fork
papà,il papà,sostantivo,dad
prenotare,prenotare,verbo transitivo,to book
fabbrica,la fabbrica,sostantivo,factory
salute,salute,interiezione,cheers
giardino,il giardino,sostantivo,garden
male,male,avverbio,badly
giorno,il giorno,sostantivo,day
stretto,stretto/a/i/e,aggettivo,narrow
incontrare,incontrare,verbo transitivo,to meet
affetto,l'affetto,sostantivo,affection
luglio,il luglio,sostantivo,July
animale,l'animale,sostantivo,animal
bici(cletta),la bicicletta,sostantivo,bicycle
chiesa,la chiesa,sostantivo,church
gli,gli,articolo,the
musica,la musica,sostantivo,music
quaderno,il quaderno,sostantivo,notebook
i,i,articolo,the
buonasera,buonasera,interiezione,good evening
spesso,spesso,avverbio,often
sempre,sempre,avverbio,always
dietro,dietro,avverbio,behind
dormire,dormire,verbo intransitivo,to sleep
teatro,il teatro,sostantivo,theatre
sigaretta,la sigaretta,sostantivo,cigarette
gennaio,il gennaio,sostantivo,January
internazionale,internazionale/i,aggettivo,international
menù,il menù,sostantivo,menu
informazione,l'informazione,sostantivo,information
fax,il fax,sostantivo,fax
straniero,straniero/a/i/e,aggettivo,foreign
stazione,la stazione,sostantivo,station
figlio/a,il figlio,sostantivo,son
domani,domani,avverbio,tomorrow
cercare,cercare,verbo transitivo,to search
parcheggio,il parcheggio,sostantivo,parking lot
meno,meno,avverbio,less
stanco,stanco/a/i/e,aggettivo,tired
pianta,la pianta,sostantivo,plant
capello,il capello,sostantivo,hair
avanti,avanti,avverbio,forward
moto(cicletta),la motocicletta,sostantivo,motorcycle
birra,la birra,sostantivo,beer
falso,falso/a/i/e,aggettivo,false
centro,il centro,sostantivo,center
lontano,lontano,avverbio,far
niente,niente,pron. - avv.,nothing
davanti,davanti,avverbio,in front
sapere,sapere,verbo transitivo,to know
famiglia,la famiglia,sostantivo,family
tuo,tuo/a/tuoi/tue,aggettivo,your
check-in,il check-in,sostantivo,check-in
cibo,il cibo,sostantivo,food
mio,mio/mia/miei/mie,aggettivo,my
come,come,avverbio,how
lavorare,lavorare,verbo intransitivo,to work
troppo,troppo,agg. – avv.,too much
hobby,l'hobby,sostantivo,hobby
fuori,fuori,avverbio,outside
frutta,la frutta,sostantivo,fruit
parola,la parola,sostantivo,word
ufficio,l'ufficio,sostantivo,office
momento,il momento,sostantivo,moment
albergo,l'albergo,sostantivo,hotel
aeroporto,l'aeroporto,sostantivo,airport
medicina,la medicina,sostantivo,medicine
libro,il libro,sostantivo,book
cosa,la cosa,sostantivo,thing
chi,chi,pronome,who
piano,piano,avv.  – s.m.,slowly
freddo,freddo/a/i/e,aggettivo,cold
radio,la radio,sostantivo,radio
aprire,aprire,verbo transitivo,to open
cappuccino,il cappuccino,sostantivo,cappuccino
valigia,la valigia,sostantivo,suitcase
orologio,l'orologio,sostantivo,clock
grazie,grazie,interiezione,thank you
telefono,il telefono,sostantivo,telephone
chiave,la chiave,sostantivo,key
euro,l'euro,sostantivo,euro
portare,portare,verbo transitivo,to carry
spaghetto,lo spaghetto,sostantivo,spaghetti
la,la,articolo,the
malato,malato/a/i/e,aggettivo,sick
loro,loro,pronome,they
pizzeria,la pizzeria,sostantivo,pizzeria
cellulare,il cellulare,sostantivo,mobile phone
ottobre,l'ottobre,sostantivo,October
nero,nero/a/i/e,aggettivo,black
ritornare,ritornare,verbo intransitivo,return
risposta,la risposta,sostantivo,answer
nuovo,nuovo/a/i/e,aggettivo,new
avere,avere,verbo transitivo,to have
latte,il latte,sostantivo,milk
camicia,la camicia,sostantivo,shirt
colazione,la colazione,sostantivo,breakfast
piazza,la piazza,sostantivo,square
doppio,doppio/a/i/e,aggettivo,double
riso,il riso,sostantivo,rice
oggi,oggi,avverbio,today
aspettare,aspettare,verbo transitivo,to wait
francobollo,il francobollo,sostantivo,stamp
agenzia,l'agenzia,sostantivo,agency
maschio,il maschio,sostantivo,male
verdura,la verdura,sostantivo,vegetable
primavera,la primavera,sostantivo,spring
donna,la donna,sostantivo,woman
partire,partire,verbo intransitivo,to leave
indirizzo,l'indirizzo,sostantivo,address
cameriere/a,il cameriere,sostantivo,waiter
stop,lo stop,sostantivo,stop sign
qua,qua,avverbio,here
cantare,cantare,verbo transitivo,to sing
tavolo,il tavolo,sostantivo,table
magro,magro/a/i/e,aggettivo,thin
aceto,l'aceto,sostantivo,vinegar
più,più,avverbio,more
importante,importante/i,aggettivo,important
mare,il mare,sostantivo,sea
cappotto,il cappotto,sostantivo,coat
lunedì,il lunedì,sostantivo,Monday
o,o,congiunzione,or
fratello,il fratello,sostantivo,brother
mercato,il mercato,sostantivo,market
presto,presto,avverbio,soon
supermercato,il supermercato,sostantivo,supermarket
cambiare,cambiare,verbo transitivo,to change
favore,il favore,sostantivo,favor
difficile,difficile/i,aggettivo,difficult
segreteria,la segreteria,sostantivo,secretariat
estate,l'estate,sostantivo,summer
mattina,la mattina,sostantivo,morning
via,la via,sostantivo,street
dottore/ssa,il dottore,sostantivo,doctor
uscire,uscire,verbo intransitivo,to go out
insegnare,insegnare,verbo transitivo,to teach
giornale,il giornale,sostantivo,newspaper
esercizio,l'esercizio,sostantivo,exercise
amico/a,l'amico,sostantivo,friend
suonare,suonare,verbo transitivo,to play
andare,andare,verbo intransitivo,to go
di,di,preposizione,of
farmacia,la farmacia,sostantivo,pharmacy
Natale,il Natale,sostantivo,Christmas
turista,il turista,sostantivo,tourist
Pasqua,la Pasqua,sostantivo,Easter
negozio,il negozio,sostantivo,shop
e-mail,l'e-mail,sostantivo,email
pepe,il pepe,sostantivo,pepper
viaggiare,viaggiare,verbo intransitivo,to travel
padre,il padre,sostantivo,father
studente/ssa,lo studente/la studentessa,sostantivo,student
sporco,sporco/a/i/e,aggettivo,dirty
simpatico,simpatico/a/i/e,aggettivo,nice
alto,alto/a/i/e,aggettivo,tall
borsa,la borsa,sostantivo,bag
capire,capire,verbo transitivo,understand
in,in,preposizione,in
bacio,il bacio,sostantivo,kiss
giallo,giallo/a/i/e,aggettivo,yellow
festa,la festa,sostantivo,party
si,si,pronome,himself
industria,l'industria,sostantivo,industry
prendere,prendere,verbo transitivo,to take
sinistra,la sinistra,sostantivo,left
camera,la camera,sostantivo,room
ciao,ciao,interiezione,hello
pomodoro,il pomodoro,sostantivo,tomato
chiudere,chiudere,verbo transitivo,close
singolo,singolo/a/i/e,aggettivo,single
minuto,il minuto,sostantivo,minute
scuola,la scuola,sostantivo,school
macchina,la macchina,sostantivo,car
nazionalità,la nazionalità,sostantivo,nationality
madre,la madre,sostantivo,mother
lettera,la lettera,sostantivo,letter
bambino/a,il bambino,sostantivo,child
noi,noi,pronome,we
soldo,il soldo,sostantivo,penny
pizza,la pizza,sostantivo,pizza
lungo,lungo/a/hi/he,aggettivo,long
qui,qui,avverbio,here
volere,volere,verbo intransitivo,to want
interessante,interessante/i,aggettivo,interesting
vivere,vivere,verbo intransitivo,to live
comprare,comprare,verbo transitivo,to buy
anche,anche,congiunzione,also
indietro,indietro,avverbio,backwards
corso,il corso,sostantivo,course
maglietta,la maglietta,sostantivo,t-shirt
soggiorno,il soggiorno,sostantivo,living room
largo,largo/a/i/e,aggettivo,wide
ricco,ricco/a/chi/che,aggettivo,rich
visitare,visitare,verbo transitivo,to visit
quando,quando,avverbio,when
pacco,il pacco,sostantivo,package
studiare,studiare,verbo transitivo,to study
sport,lo sport,sostantivo,sport
arrivare,arrivare,verbo intransitivo,to arrive
sale,il sale,sostantivo,salt
cena,la cena,sostantivo,dinner
pagare,pagare,verbo transitivo,to pay
città,la città,sostantivo,city
vedersi,vedersi,v. rifl. recip.,to see each other
aprile,l'aprile,sostantivo,April
nome,il nome,sostantivo,name
femmina,la femmina,sostantivo,female
svegliarsi,svegliarsi,verbo intransitivo pronominale,to wake up
uomo,l'uomo,sostantivo,man
sete,la sete,sostantivo,thirst
io,io,pronome,I
significare,significare,verbo transitivo,to mean
cognome,il cognome,sostantivo,surname
notte,la notte,sostantivo,night
certo,certo,avverbio,certainly
tardi,tardi,avverbio,late
fermata,la fermata,sostantivo,stop
mercoledì,il mercoledì,sostantivo,Wednesday
piccolo,piccolo/a/i/e,aggettivo,small
bianco,bianco/a/i/e,aggettivo,white
classe,la classe,sostantivo,class
imparare,imparare,verbo transitivo,to learn
lingua,la lingua,sostantivo,language
guardare,guardare,verbo transitivo,to look
busta,la busta,sostantivo,envelope
costare,costare,verbo transitivo,to cost
dovere,dovere,verbo intransitivo,must
dove,dove,avverbio,where
lago,il lago,sostantivo,lake
pasta,la pasta,sostantivo,pasta
nessuno,nessuno,pronome,nobody
quale,quale,pronome,which
vicino,vicino,avverbio,nearby
olio,l'olio,sostantivo,oil
cucina,la cucina,sostantivo,kitchen
film,il film,sostantivo,film
ripetere,ripetere,verbo transitivo,repeat
buongiorno,buongiorno,interiezione,good morning
dicembre,il dicembre,sostantivo,December
amore,l'amore,sostantivo,love
molto,molto/a/i/e,aggettivo - avverbio,much/many
inverno,l'inverno,sostantivo,winter
quasi,quasi,avverbio,almost
augurio,l'augurio,sostantivo,wish
matita,la matita,sostantivo,pencil
ascoltare,ascoltare,verbo transitivo,to listen
scarpa,la scarpa,sostantivo,shoe
ti,ti,pronome,you
poco,poco,po’,little
quello,quello,agg. – pron.,that
aiuto,aiuto,interiezione,help
finire,finire,verbo intransitivo,to finish
perché,perché,avv. - cong.,why
con,con,preposizione,with
pranzare,pranzare,v.int,to have lunch
buono,buono/a/i/e,aggettivo,good
leggere,leggere,verbo transitivo,to read
me,me,pronome,me
là,là,avverbio,there
verde,verde/i,aggettivo,green
pomeriggio,il pomeriggio,sostantivo,afternoon
fame,la fame,sostantivo,hunger
cinema,il cinema,sostantivo,cinema
sonno,il sonno,sostantivo,sleep
vestito,il vestito,sostantivo,dress
saluto,il saluto,sostantivo,greeting
prego,prego,interiezione,you're welcome
cd,il cd,sostantivo,CD
lui,lui,pronome,he
calza,la calza,sostantivo,stocking
caldo,caldo/a/i/e,aggettivo,hot
mettere,mettere,verbo transitivo,to put
