italian,english
primo/a/i/e,first
stesso/a/i/e,same
grande/i,great
presente/i,present
tale/i,such
possibile/i,possible
nazionale/i,national
nuovo/a/i/e,new
sociale/i,social
regionale/i,regional
generale/i,general
vero/a/i/e,true
pubblico/a/i/e,public
diverso/a/i/e,different
importante/i,important
italiano/a/i/e,Italian
ultimo/a/i/e,last
seguente/i,following
locale/i,local
unico/a/i/e,only
necessario/a/i/e,necessary
internazionale/i,international
civile/i,civil
europeo/a/i/e,European
forte/i,strong
superiore/i,superior
secondo/a/i/e,second
particolare/i,particular
legislativo/a/i/e,legislative
ex,former
comune/i,common
precedente/i,previous
politico/a/i/e,political
relativo/a/i/e,relative
buono/a/i/e,good
professionale/i,professional
semplice/i,simple
previsto/a/i/e,expected
difficile/i,difficult
scorso/a/i/e,last
culturale/i,cultural
economico/a/i/e,economic
vario/a/i/e,various
attuale/i,current
personale/i,personal
lungo/a/i/e,long
piccolo/a/i/e,small
solo/a/i/e,alone
eventuale/i,possible
migliore/i,better
principale/i,main
bello/a/i/e,beautiful
breve/i,short
prossimo/a/i/e,next
certo/a/i/e,certain
speciale/i,special
utile/i,useful
successivo/a/i/e,following
alto/a/i/e,high
centrale/i,central
mondiale/i,global
on,on
intero/a/i/e,entire
comunale/i,municipal
finale/i,final
inferiore/i,lower
ambientale/i,environmental
vicino/a/i/e,near
reale/i,real
giusto/a/i/e,correct
terzo/a/i/e,third
facile/i,easy
disponibile/i,available
naturale/i,natural
pieno/a/i/e,full
militare/i,military
provinciale/i,provincial
fondamentale/i,fundamental
libero/a/i/e,free
costituzionale/i,constitutional
umano/a/i/e,human
storico/a/i/e,historical
x,x
scientifico/a/i/e,scientific
scolastico/a/i/e,school
ulteriore/i,further
chiaro/a/i/e,clear
finanziario/a/i/e,financial
grave/i,serious
ufficiale/i,official
massimo/a/i/e,maximum
competente/i,competent
tecnico/a/i/e,technical
totale/i,total
bis,twice
singolo/a/i/e,single
amministrativo/a/i/e,administrative
inglese/i,English
medesimo/a/i/e,same
recente/i,recent
penale/i,penal
basso/a/i/e,low
evidente/i,evident
sito/a/i/e,located
favorevole/i,favorable
numeroso/a/i/e,numerous
permanente/i,permanent
minore/i,minor
giovane/i,young
interessante/i,interesting
noto/a/i/e,well-known
