Word,Infinitive,English_Translation,Word_Type,Jaro_Score,Initial_Jaro,Rule_Chain,Max_Jaro_Score
e,e,and,conj,0.0,0.0,,0.0
non,non,not,adv,0.7777777777777777,0.7777777777777777,,0.7777777777777777
che,che,that,"conj, pron",0.5277777777777778,0.5277777777777778,,0.5277777777777778
di,di,of,prep,0.0,0.0,,0.0
la,il,the,"art, f, sg",0.0,0.0,,0.0
un,uno,a,"art, num",0.0,0.0,,0.0
a,a,to,prep,0.0,0.0,,0.0
per,per,for,prep,0.5555555555555555,0.5555555555555555,,0.5555555555555555
è,essere,to be,verb,0.0,0.0,,0.0
in,in,in,prep,1.0,1.0,,1.0
mi,mi,me,"pron, obj, dir obj, indir obj",0.6666666666666666,0.6666666666666666,,0.6666666666666666
ho,avere,to have,verb,0.5476190476190476,0.5833333333333334,,0.5833333333333334
si,si,oneself,pron,0.0,0.0,,0.0
ma,ma,but,conj,0.0,0.0,,0.0
cosa,cosa,thing,nf,0.0,0.0,,0.0
con,con,with,prep,0.0,0.0,,0.0
no,no,no,adv,1.0,1.0,,1.0
ti,ti,you,"pron, dir obj, indir obj",0.0,0.0,,0.0
se,se,if,conj,0.0,0.0,,0.0
da,da,from,prep,0.0,0.0,,0.0
come,come,how,"adv, conj",0.5277777777777778,0.5277777777777778,,0.5277777777777778
io,io,I,pron,0.0,0.8333333333333334,suffix-o-,1.0
ci,ci,there,"pron, adv",0.0,0.0,,0.0
questo,questo,this,"adj, pron",0.47222222222222215,0.47222222222222215,,0.47222222222222215
bene,bene,well,"adv, nm",0.5,0.5,,0.5
qui,qui,here,adv,0.0,0.0,,0.0
tu,tu,you,pron,0.0,0.0,,0.0
solo,solo,alone,"adj, adv",0.4666666666666666,0.4666666666666666,,0.4666666666666666
mio,mio,my,"adj, pron",0.611111111111111,0.611111111111111,,0.611111111111111
al,al,to the,prep,0.0,0.0,,0.0
me,me,me,"pron, obj, dir obj, indir obj",1.0,1.0,,1.0
tutto,tutto,all,"adj, pron, m, sg",0.0,0.0,,0.0
c',esserci,there is,verb,0.0,0.0,,0.0
fatto,fare,done,"adj, nm, verb",0.0,0.0,,0.0
so,sapere,to know,verb,0.5476190476190476,0.5833333333333334,,0.5833333333333334
quando,quando,when,"adv, conj, pron",0.47222222222222215,0.47222222222222215,,0.47222222222222215
sì,sì,yes,"adv, nm",0.0,0.0,,0.0
ora,ora,now,"adv, nf",0.0,0.0,,0.0
lei,lei,she,pron,0.0,0.0,,0.0
ne,ne,of it,"pron, adv",0.0,0.0,,0.0
oh,oh,oh,interj,1.0,1.0,,1.0
detto,dire,said,"verb, nm",0.0,0.0,,0.0
ok,ok,ok,"adj, adv, nm",1.0,1.0,,1.0
va,andare,goes,verb,0.0,0.0,,0.0
perche,perche,because,"conj, adv, nm",0.6428571428571429,0.6428571428571429,,0.6428571428571429
quello,quello,that,"adj, pron",0.0,0.0,,0.0
mai,mai,never,adv,0.0,0.0,,0.0
alla,alla,to the,"prep, art",0.0,0.0,,0.0
o,o,or,conj,0.8333333333333334,0.8333333333333334,,0.8333333333333334
anche,anche,also,"adv, conj",0.48333333333333334,0.48333333333333334,,0.48333333333333334
grazie,grazia,thanks,"interj, nf, pl",0.4444444444444444,0.4444444444444444,,0.4444444444444444
chi,chi,who,pron,0.5555555555555555,0.5555555555555555,,0.5555555555555555
sta,stare,is,verb,0.0,0.0,,0.0
molto,molto,very,"adv, adj, pron",0.0,0.0,,0.0
più,più,more,"adv, adj, nm",0.0,0.0,,0.0
voglio,volere,to want,verb,0.4365079365079365,0.0,,0.0
perché,perché,why,"adv, conj, nm",0.0,0.0,,0.0
tuo,tuo,your,"adj, pron",0.5555555555555555,0.5555555555555555,,0.5555555555555555
beh,beh,well,interj,0.5277777777777778,0.5277777777777778,,0.5277777777777778
lui,lui,he,pron,0.0,0.0,,0.0
allora,allora,then,"adv, conj",0.0,0.0,,0.0
posso,potere,to be able to,verb,0.4256410256410256,0.44166666666666665,,0.44166666666666665
ehi,ehi,hey,interj,0.0,0.0,,0.0
prima,primo,before,"adv, conj, prep, nf",0.0,0.0,,0.0
suo,suo,his,"adj, pron",0.0,0.0,,0.0
niente,niente,nothing,"adv, nm, pron",0.5317460317460317,0.5317460317460317,,0.5317460317460317
qualcosa,qualcosa,something,pron,0.0,0.0,,0.0
cosi,così,so,"adv, conj",0.5833333333333334,0.5833333333333334,,0.5833333333333334
davvero,davvero,really,"adv, interj",0.4365079365079365,0.4365079365079365,,0.4365079365079365
ancora,ancora,still,"adv, nf",0.0,0.0,,0.0
casa,casa,house,nf,0.48333333333333334,0.48333333333333334,,0.48333333333333334
dove,dove,where,"adv, conj, pron",0.48333333333333334,0.48333333333333334,,0.48333333333333334
su,su,on,prep,0.0,0.0,,0.0
vero,vero,true,"adj, nm",0.5,0.5,,0.5
noi,noi,we,pron,0.0,0.0,,0.0
due,due,two,"num, nm",0.0,0.0,,0.0
quindi,quindi,therefore,"adv, conj",0.0,0.0,,0.0
delle,del,some,"art, prep",0.48333333333333334,0.48333333333333334,,0.48333333333333334
sempre,sempre,always,adv,0.0,0.0,,0.0
altro,altro,other,"adj, pron, m, sg",0.6,0.6,,0.6
po,poco,little,"adv, nm, adj",0.0,0.0,,0.0
loro,loro,they,pron,0.0,0.0,,0.0
devo,dovere,must,verb,0.0,0.0,,0.0
forse,forse,maybe,adv,0.4666666666666666,0.4666666666666666,,0.4666666666666666
li,li,them,"pron, dir obj",0.0,0.0,,0.0
proprio,proprio,own,"adj, adv, pron",0.4920634920634921,0.4920634920634921,,0.4920634920634921
certo,certo,certain,"adj, adv",0.7904761904761904,0.7904761904761904,,0.7904761904761904
tempo,tempo,time,nm,0.6333333333333333,0.6333333333333333,,0.6333333333333333
poi,poi,then,adv,0.0,0.0,,0.0
vi,voi,you,"pron, dir obj, indir obj",0.0,0.0,,0.0
credo,credere,to believe,"verb, nm",0.3666666666666667,0.44761904761904764,,0.44761904761904764
vita,vita,life,nf,0.5,0.5,,0.5
sul,sul,on the,"prep, art",0.0,0.0,,0.0
quanto,quanto,how much,"adj, adv, pron",0.0,0.0,,0.0
fuori,fuori,outside,"adv, prep, m",0.565079365079365,0.565079365079365,,0.565079365079365
anni,anno,years,"m, pl",0.0,0.0,,0.0
cui,cui,which,pron,0.5111111111111111,0.5111111111111111,,0.5111111111111111
parte,parte,part,nf,0.9333333333333332,0.9333333333333332,suffix-e-,1.0
visto,vedere,seen,"verb, nm",0.0,0.0,,0.0
qualcuno,qualcuno,someone,pron,0.3452380952380952,0.3452380952380952,,0.3452380952380952
lavoro,lavoro,work,nm,0.611111111111111,0.611111111111111,,0.611111111111111
ciao,ciao,hello,interj,0.48333333333333334,0.48333333333333334,,0.48333333333333334
dio,dio,god,nm,0.0,0.0,,0.0
volta,volta,time,nf,0.0,0.0,,0.0
dopo,dopo,after,"adv, prep, conj",0.0,0.0,,0.0
adesso,adesso,now,adv,0.0,0.0,,0.0
uomo,uomo,man,nm,0.0,0.0,,0.0
padre,padre,father,nm,0.5888888888888889,0.5888888888888889,,0.5888888888888889
bisogno,bisogno,need,nm,0.0,0.0,,0.0
gia,già,already,adv,0.4920634920634921,0.4920634920634921,,0.4920634920634921
amico,amico,friend,nm,0.45555555555555555,0.45555555555555555,,0.45555555555555555
ed,ed,and,conj,0.0,0.0,,0.0
posto,posto,place,nm,0.4666666666666666,0.4666666666666666,,0.4666666666666666
nessuno,nessuno,nobody,"pron, adj, m",0.4365079365079365,0.4365079365079365,,0.4365079365079365
via,via,way,"nf, adv",0.0,0.0,,0.0
signore,signore,gentleman,nm,0.5873015873015873,0.5873015873015873,,0.5873015873015873
meglio,meglio,better,"adj, adv, nm",0.4444444444444444,0.4444444444444444,,0.4444444444444444
cazzo,cazzo,dick,"nm, interj",0.0,0.0,,0.0
dai,dare,give,verb,0.5277777777777778,0.5277777777777778,,0.5277777777777778
sembra,sembrare,to seem,verb,0.0,0.75,,0.75
giorno,giorno,day,nm,0.0,0.0,,0.0
