italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
essere,to be,ero,I was,eri,you were,era,he/she was,eravamo,we were,eravate,you all were,erano,they were
potere,to be able to,potevo,I was able to,potevi,you were able to,poteva,he/she was able to,potevamo,we were able to,potevate,you all were able to,potevano,they were able to
avere,to have,avevo,I had,avevi,you had,aveva,he/she had,avevamo,we had,avevate,you all had,avevano,they had
fare,to do/make,facevo,I was doing/making,facevi,you were doing/making,faceva,he/she was doing/making,facevamo,we were doing/making,facevate,you all were doing/making,facevano,they were doing/making
dovere,to have to/must,dovevo,I had to,dovevi,you had to,doveva,he/she had to,dovevamo,we had to,dovevate,you all had to,dovevano,they had to
dire,to say,dicevo,I was saying,dicevi,you were saying,diceva,he/she was saying,dicevamo,we were saying,dicevate,you all were saying,dicevano,they were saying
dettare,to dictate,dettavo,I was dictating,dettavi,you were dictating,dettava,he/she was dictating,dettavamo,we were dictating,dettavate,you all were dictating,dettavano,they were dictating
stare,to stay/be,stavo,I was staying/feeling,stavi,you were staying/feeling,stava,he/she was staying/feeling,stavamo,we were staying/feeling,stavate,you all were staying/feeling,stavano,they were staying/feeling
andare,to go,andavo,I was going,andavi,you were going,andava,he/she was going,andavamo,we were going,andavate,you all were going,andavano,they were going
sembrare,to seem,sembravo,I seemed,sembravi,you seemed,sembrava,he/she seemed,sembravamo,we seemed,sembravate,you all seemed,sembravano,they seemed
