italian_original,italian,function,english
cartolina,la cartolina,sostantivo,postcard
restituire,restituire,verbo transitivo,return
scomodo,scomodo/a/i/e,aggettivo,uncomfortable
aspro,aspro/a/i/e,aggettivo,harsh
cugino/a,il cugino,sostantivo,cousin
gentile,gentile/i,aggettivo,kind
vero,vero/a/i/e,aggettivo,true
passaggio,il passaggio,sostantivo,passage
improvviso,improvviso/a/i/e,aggettivo,sudden
grigio,grigio/a/i/e,aggettivo,gray
versare,versare,verbo transitivo,to pour
parete,la parete,sostantivo,wall
dunque,dunque,congiunzione,therefore
piccolo,piccolo/a/i/e,aggettivo,small
binario,il binario,sostantivo,track
hobby,l'hobby,sostantivo,hobby
funzionare,funzionare,verbo intransitivo,to work
ottimista,ottimista/e,aggettivo,optimistic
giorno,il giorno,sostantivo,day
alfabeto,l'alfabeto,sostantivo,alphabet
padrone/a,il padrone / la padrona,sostantivo,owner
tovagliolo,il tovagliolo,sostantivo,napkin
pentola,la pentola,sostantivo,pot
gratis,gratis,avverbio,free
arancione,arancione/i,aggettivo,orange
specchio,lo specchio,sostantivo,mirror
treno,il treno,sostantivo,train
sedia,la sedia,sostantivo,chair
maggiore,maggiore/i,aggettivo,greater
numero,il numero,sostantivo,number
saltare,saltare,verbo transitivo - verbo intransitivo,to jump
li,li,pronome,them
poltrona,la poltrona,sostantivo,armchair
studiare,studiare,verbo transitivo,to study
dispensa,la dispensa,sostantivo,pantry
camion,il camion,sostantivo,truck
istituto,l'istituto,sostantivo,institute
tanto,tanto/a/i/e,pronome - aggettivo,a lot
programma,il programma,sostantivo,program
tra,tra,preposizione,between
pranzo,il pranzo,sostantivo,lunch
lavatrice,la lavatrice,sostantivo,washing machine
metallo,il metallo,sostantivo,metal
certamente,certamente,avverbio,certainly
pepe,il pepe,sostantivo,pepper
sporco,sporco/a/i/e,aggettivo,dirty
piacevole,piacevole/i,aggettivo,pleasant
maschio,il maschio,sostantivo,male
asciugare/si,asciugare,verbo transitivo - verbo riflessivo - verbo transitivo pronominale,to dry
pausa,la pausa,sostantivo,break
parlare,parlare,verbo transitivo - verbo intransitivo,to speak
praticamente,praticamente,avverbio,practically
vetro,il vetro,sostantivo,glass
formaggio,il formaggio,sostantivo,cheese
chiave,la chiave,sostantivo,key
noleggiare,noleggiare,verbo transitivo,to rent
pop,il pop,sostantivo - aggettivo,pop
abitare,abitare,verbo intransitivo,to live
sconto,lo sconto,sostantivo,discount
forza,forza,s.f. - inter.,strength
nascere,nascere,verbo intransitivo,to be born
ruota,la ruota,sostantivo,wheel
zio/a,lo zio,sostantivo,uncle
motore,il motore,sostantivo,engine
migliore,migliore/i,aggettivo,better
forse,forse,avverbio,maybe
adesso,adesso,avverbio,now
trasferirsi,trasferirsi,verbo intransitivo pronominale,to move
campagna,la campagna,sostantivo,countryside
malattia,la malattia,sostantivo,illness
colore,il colore,sostantivo,color
meno,meno,avverbio,less
hotel,l'hotel,sostantivo,hotel
giacca,la giacca,sostantivo,jacket
dentista,il dentista,sostantivo,dentist
velocemente,velocemente,avverbio,quickly
moderno,moderno/a/i/e,aggettivo,modern
cui,cui,pronome,whom
seta,la seta,sostantivo,silk
incontrare/si,incontrare,v.t.  - v. rifl. recip.,to meet
genere,il genere,sostantivo,gender
questura,la questura,sostantivo,police headquarters
incominciare,incominciare,verbo transitivo,to begin
vedovo,vedovo/a/i/e,aggettivo,widowed
documento,il documento,sostantivo,document
grasso,grasso/a/i/e,aggettivo,fat
allora,allora,avverbio,then
giornalista,il giornalista,sostantivo,journalist
tenero,tenero/a/i/e,aggettivo,tender
settembre,il settembre,sostantivo,September
dipendere,dipendere,verbo intransitivo,to depend
uomo,l'uomo,sostantivo,man
mensile,il mensile,sostantivo,monthly magazine
quale,quale/i,pronome - aggettivo,which
un/o/a,un,articolo,a
prosciutto,il prosciutto,sostantivo,ham
forchetta,la forchetta,sostantivo,fork
siccome,siccome,congiunzione,since
qui,qui,avverbio,here
impermeabile,l'impermeabile,sostantivo,raincoat
est,l'est,sostantivo,east
segretario/a,il segretario,sostantivo,secretary
alba,l'alba,sostantivo,dawn
scrivania,la scrivania,sostantivo,desk
buongiorno,buongiorno,interiezione,good morning
buono,buono/a/i/e,aggettivo,good
durante,durante,preposizione,during
così,così,avverbio,so
dritto,dritto,avverbio,straight
mezzogiorno,il mezzogiorno,sostantivo,noon
ansia,l'ansia,sostantivo,anxiety
distributore,il distributore,sostantivo,vending machine
a,a,preposizione,to
momento,il momento,sostantivo,moment
virgola,la virgola,sostantivo,comma
salve,salve,interiezione,hello
sennò,sennò,congiunzione,otherwise
sporcare,sporcare,verbo transitivo,to dirty
dove,dove,avverbio,where
scontrino,lo scontrino,sostantivo,receipt
occasione,l'occasione,sostantivo,opportunity
regalo,il regalo,sostantivo,gift
fornello,il fornello,sostantivo,stove
confuso,confuso/a/i/e,aggettivo,confused
postino,il postino,sostantivo,mailman
anello,l'anello,sostantivo,ring
portare,portare,verbo transitivo,to carry
abbonamento,l'abbonamento,sostantivo,subscription
tabaccaio,il tabaccaio,sostantivo,tobacconist
improvvisamente,improvvisamente,avverbio,suddenly
denaro,il denaro,sostantivo,money
cioè,cioè,congiunzione,that is
tornare,tornare,verbo intransitivo,return
neve,la neve,sostantivo,snow
ubriaco,ubriaco/a/i/e,aggettivo,drunk
svegliarsi,svegliarsi,verbo intransitivo pronominale,to wake up
complicare,complicare,verbo transitivo,complicate
singolo,singolo/a/i/e,aggettivo,single
tè,il tè,sostantivo,tea
ospitalità,l'ospitalità,sostantivo,hospitality
alto,alto/a/i/e,aggettivo,tall
sandalo,il sandalo,sostantivo,sandal
febbraio,il febbraio,sostantivo,February
stadio,lo stadio,sostantivo,stadium
pessimista,pessimista/e,aggettivo,pessimistic
precedente,precedente/i,aggettivo,previous
gamba,la gamba,sostantivo,leg
piazza,la piazza,sostantivo,square
collezionare,collezionare,verbo transitivo,to collect
togliere,togliere,verbo transitivo,remove
corso,il corso,sostantivo,course
tostapane,il tostapane,sostantivo,toaster
latte,il latte,sostantivo,milk
pettine,il pettine,sostantivo,comb
provare,provare,verbo transitivo,to try
beh,beh,interiezione,well
forma,la forma,sostantivo,shape
perfetto,perfetto/a/i/e,aggettivo,perfect
sembrare,sembrare,verbo intransitivo,to seem
amare,amare,verbo transitivo,to love
italiano,l'italiano,sostantivo,Italian
seguente,seguente/i,aggettivo,following
fresco,fresco/a/chi/che,aggettivo,fresh
periodo,il periodo,sostantivo,period
novembre,il novembre,sostantivo,November
prego,prego,interiezione,you're welcome
burro,il burro,sostantivo,butter
abbraccio,l'abbraccio,sostantivo,hug
museo,il museo,sostantivo,museum
muovere/si,muovere/si,verbo transitivo - verbo riflessivo,to move
ma,ma,congiunzione,but
tragedia,la tragedia,sostantivo,tragedy
pulizia,la pulizia,sostantivo,cleaning
leggero,leggero/a/i/e,aggettivo,light
davvero,davvero,avverbio,really
circa,circa,avverbio,approximately
piangere,piangere,verbo intransitivo,to cry
dormire,dormire,verbo intransitivo,to sleep
affetto,l'affetto,sostantivo,affection
marito,il marito,sostantivo,husband
preposizione,la preposizione,sostantivo,preposition
ritornare,ritornare,verbo intransitivo,to return
entrare,entrare,verbo intransitivo,to enter
ombrello,l'ombrello,sostantivo,umbrella
ringraziare,ringraziare,verbo transitivo,to thank
qualcosa,qualcosa,pronome,something
naso,il naso,sostantivo,nose
università,l'università,sostantivo,university
quartiere,il quartiere,sostantivo,neighborhood
pollo,il pollo,sostantivo,chicken
anticipo,l'anticipo,sostantivo,advance
appuntamento,l'appuntamento,sostantivo,appointment
utilizzare,utilizzare,verbo transitivo,use
marzo,il marzo,sostantivo,March
totale,il totale,sostantivo,total
centro,il centro,sostantivo,center
telefonare,telefonare,verbo intransitivo,to call
caro,caro/a/i/e,aggettivo,dear
contattare,contattare,verbo transitivo,contact
cibo,il cibo,sostantivo,food
incrocio,l'incrocio,sostantivo,intersection
persona,la persona,sostantivo,person
copia,la copia,sostantivo,copy
partire,partire,verbo intransitivo,to leave
caldo,il caldo,aggettivo - sostantivo,heat
spesso,spesso/a/i/e,avverbio - aggettivo,thick
vacanza,la vacanza,sostantivo,vacation
esprimere,esprimere,verbo transitivo,to express
salotto,il salotto,sostantivo,living room
tramonto,il tramonto,sostantivo,sunset
zucchero,lo zucchero,sostantivo,sugar
villa,la villa,sostantivo,villa
amicizia,l'amicizia,sostantivo,friendship
data,i dati,sostantivo,data
tutto,tutto/a/i/e,aggettivo,all
quando,quando,cong. - avv.,when
bere,bere,verbo transitivo,drink
divertimento,il divertimento,sostantivo,entertainment
variabile,variabile/i,aggettivo,variable
pediatra,il pediatra,sostantivo,pediatrician
acquistare,acquistare,verbo transitivo,to buy
qualsiasi,qualsiasi,pronome - aggettivo,any
carota,la carota,sostantivo,carrot
timido,timido/a/i/e,aggettivo,shy
veramente,veramente,avverbio,really
oggi,oggi,avverbio,today
moda,la moda,sostantivo,fashion
acconto,l'acconto,sostantivo,down payment
palla,la palla,sostantivo,ball
cuocere,cuocere,verbo transitivo,to cook
palazzo,il palazzo,sostantivo,palace
piacere,piacere,v.int. - s.m.,pleasure
documentario,il documentario,sostantivo,documentary
cielo,il cielo,sostantivo,sky
rispondere,rispondere,verbo intransitivo,to answer
cucinare,cucinare,verbo transitivo,to cook
cucina,la cucina,sostantivo,kitchen
addormentarsi,addormentarsi,verbo intransitivo pronominale,to fall asleep
viola,viola,aggettivo,purple
prestare,prestare,verbo transitivo,to lend
idraulico,l'idraulico,sostantivo,plumber
conoscere,conoscere,verbo transitivo,to know
trovare/si,trovare,v.t.  - v.int. pron.,to find
sia,sia,congiunzione,either
compleanno,il compleanno,sostantivo,birthday
banana,la banana,sostantivo,banana
superare,superare,verbo transitivo,overcome
riparare,riparare,verbo transitivo,to repair
smettere,smettere,verbo transitivo,stop
speciale,speciale/i,aggettivo,special
infatti,infatti,congiunzione,indeed
accordo,l'accordo,sostantivo,agreement
professore/ssa,il professore,sostantivo,professor
autostrada,l'autostrada,sostantivo,motorway
tortellino,il tortellino,sostantivo,tortellino
collana,la collana,sostantivo,necklace
novità,la novità,sostantivo,novelty
spaghetto,lo spaghetto,sostantivo,spaghetti
piccante,piccante/i,aggettivo,spicy
torre,la torre,sostantivo,tower
master,il master,sostantivo,master's degree
conto,il conto,sostantivo,bill
merenda,la merenda,sostantivo,snack
introverso,introverso/a/i/e,aggettivo,introverted
grande,grande/i,aggettivo,big
capire,capire,verbo transitivo,to understand
riposare/si,riposare/si,verbo intransitivo - verbo intransitivo pronominale,to rest
coperta,la coperta,sostantivo,blanket
domanda,la domanda,sostantivo,question
opera,l'opera,sostantivo,work
macchina,la macchina,sostantivo,car
tappeto,il tappeto,sostantivo,rug
lirica,la lirica,aggettivo - sostantivo,lyric poetry
voce,la voce,sostantivo,voice
fortuna,la fortuna,sostantivo,luck
biblioteca,la biblioteca,sostantivo,library
settimana,la settimana,sostantivo,week
esercizio,l'esercizio,sostantivo,exercise
problema,il problema,sostantivo,problem
antico,antico/a/i/e,aggettivo,ancient
guadagnare,guadagnare,verbo transitivo,to earn
inventare,inventare,verbo transitivo,to invent
bisogno,il bisogno,sostantivo,need
volare,volare,verbo intransitivo,to fly
tecnico,il tecnico,sostantivo,technician
benvenuto,benvenuto/a/i/e,aggettivo,welcome
dolore,il dolore,sostantivo,pain
sole,il sole,sostantivo,sun
per,per,preposizione,for
credere,credere,verbo transitivo,believe
metro,la metro,sostantivo,subway
autunno,l'autunno,sostantivo,autumn
carta,la carta,sostantivo,paper
informazione,l'informazione,sostantivo,information
adulto/a,l'adulto,aggettivo - sostantivo,adult
pane,il pane,sostantivo,bread
aeroporto,l'aeroporto,sostantivo,airport
povero,povero/a/i/e,aggettivo,poor
radio,la radio,sostantivo,radio
ottimo,ottimo/a/i/e,aggettivo,excellent
aiutare,aiutare,verbo transitivo,to help
rimanere,rimanere,verbo intransitivo,remain
avverbio,l'avverbio,sostantivo,adverb
lavorare,lavorare,verbo intransitivo,to work
capo,il capo,sostantivo,boss
leggere,leggere,verbo transitivo,to read
sempre,sempre,avverbio,always
arte,l'arte,sostantivo,art
