italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
essere,to be,sto essendo,I am being,stai essendo,you are being,sta essendo,he/she is being,stiamo essendo,we are being,state essendo,you all are being,stanno essendo,they are being
potere,to be able to,sto potendo,I am being able to,stai potendo,you are being able to,sta potendo,he/she is being able to,stiamo potendo,we are being able to,state potendo,you all are being able to,stanno potendo,they are being able to
avere,to have,sto avendo,I am having,stai avendo,you are having,sta avendo,he/she is having,stiamo avendo,we are having,state avendo,you all are having,stanno avendo,they are having
fare,to do/make,sto facendo,I am doing,stai facendo,you are doing,sta facendo,he/she is doing,stiamo facendo,we are doing,state facendo,you all are doing,stanno facendo,they are doing
dovere,to have to/must,sto dovendo,I am having to,stai dovendo,you are having to,sta dovendo,he/she is having to,stiamo dovendo,we are having to,state dovendo,you all are having to,stanno dovendo,they are having to
dire,to say,sto dicendo,I am saying,stai dicendo,you are saying,sta dicendo,he/she is saying,stiamo dicendo,we are saying,state dicendo,you all are saying,stanno dicendo,they are saying
dettare,to dictate,sto dettando,I am dictating,stai dettando,you are dictating,sta dettando,he/she is dictating,stiamo dettando,we are dictating,state dettando,you all are dictating,stanno dettando,they are dictating
stare,to stay/be,sto stando,I am staying,stai stando,you are staying,sta stando,he/she is staying,stiamo stando,we are staying,state stando,you all are staying,stanno stando,they are staying
andare,to go,sto andando,I am going,stai andando,you are going,sta andando,he/she is going,stiamo andando,we are going,state andando,you all are going,stanno andando,they are going
sembrare,to seem,sto sembrando,I am seeming,stai sembrando,you are seeming,sta sembrando,he/she is seeming,stiamo sembrando,we are seeming,state sembrando,you all are seeming,stanno sembrando,they are seeming
dare,to give,sto dando,I am giving,stai dando,you are giving,sta dando,he/she is giving,stiamo dando,we are giving,state dando,you all are giving,stanno dando,they are giving
trarre,to pull/draw,sto traendo,I am drawing,stai traendo,you are drawing,sta traendo,he/she is drawing,stiamo traendo,we are drawing,state traendo,you all are drawing,stanno traendo,they are drawing
trattare,to treat/deal with,sto trattando,I am treating,stai trattando,you are treating,sta trattando,he/she is treating,stiamo trattando,we are treating,state trattando,you all are treating,stanno trattando,they are treating
riguardare,to concern/refer to,sto riguardando,I am concerning,stai riguardando,you are concerning,sta riguardando,he/she is concerning,stiamo riguardando,we are concerning,state riguardando,you all are concerning,stanno riguardando,they are concerning
vedere,to see,sto vedendo,I am seeing,stai vedendo,you are seeing,sta vedendo,he/she is seeing,stiamo vedendo,we are seeing,state vedendo,you all are seeing,stanno vedendo,they are seeing
scrivere,to write,sto scrivendo,I am writing,stai scrivendo,you are writing,sta scrivendo,he/she is writing,stiamo scrivendo,we are writing,state scrivendo,you all are writing,stanno scrivendo,they are writing
datare,to date,sto datando,I am dating,stai datando,you are dating,sta datando,he/she is dating,stiamo datando,we are dating,state datando,you all are dating,stanno datando,they are dating
volere,to want,sto volendo,I am wanting,stai volendo,you are wanting,sta volendo,he/she is wanting,stiamo volendo,we are wanting,state volendo,you all are wanting,stanno volendo,they are wanting
sapere,to know,sto sapendo,I am knowing,stai sapendo,you are knowing,sta sapendo,he/she is knowing,stiamo sapendo,we are knowing,state sapendo,you all are knowing,stanno sapendo,they are knowing
parlare,to speak,sto parlando,I am speaking,stai parlando,you are speaking,sta parlando,he/she is speaking,stiamo parlando,we are speaking,state parlando,you all are speaking,stanno parlando,they are speaking
credere,to believe,sto credendo,I am believing,stai credendo,you are believing,sta credendo,he/she is believing,stiamo credendo,we are believing,state credendo,you all are believing,stanno credendo,they are believing
trovare,to find,sto trovando,I am finding,stai trovando,you are finding,sta trovando,he/she is finding,stiamo trovando,we are finding,state trovando,you all are finding,stanno trovando,they are finding
prevedere,to foresee/predict,sto prevedendo,I am foreseeing,stai prevedendo,you are foreseeing,sta prevedendo,he/she is foreseeing,stiamo prevedendo,we are foreseeing,state prevedendo,you all are foreseeing,stanno prevedendo,they are foreseeing
partire,to leave,sto partendo,I am leaving,stai partendo,you are leaving,sta partendo,he/she is leaving,stiamo partendo,we are leaving,state partendo,you all are leaving,stanno partendo,they are leaving
capire,to understand,sto capendo,I am understanding,stai capendo,you are understanding,sta capendo,he/she is understanding,stiamo capendo,we are understanding,state capendo,you all are understanding,stanno capendo,they are understanding
pensare,to think,sto pensando,I am thinking,stai pensando,you are thinking,sta pensando,he/she is thinking,stiamo pensando,we are thinking,state pensando,you all are thinking,stanno pensando,they are thinking
mettere,to put,sto mettendo,I am putting,stai mettendo,you are putting,sta mettendo,he/she is putting,stiamo mettendo,we are putting,state mettendo,you all are putting,stanno mettendo,they are putting
prendere,to take,sto prendendo,I am taking,stai prendendo,you are taking,sta prendendo,he/she is taking,stiamo prendendo,we are taking,state prendendo,you all are taking,stanno prendendo,they are taking
inviare,to send,sto inviando,I am sending,stai inviando,you are sending,sta inviando,he/she is sending,stiamo inviando,we are sending,state inviando,you all are sending,stanno inviando,they are sending
evitare,to avoid,sto evitando,I am avoiding,stai evitando,you are avoiding,sta evitando,he/she is avoiding,stiamo evitando,we are avoiding,state evitando,you all are avoiding,stanno evitando,they are avoiding
bisognare,to be necessary,sto bisognando,I am needing,stai bisognando,you are needing,sta bisognando,he/she is needing,stiamo bisognando,we are needing,state bisognando,you all are needing,stanno bisognando,they are needing
creare,to create,sto creando,I am creating,stai creando,you are creating,sta creando,he/she is creating,stiamo creando,we are creating,state creando,you all are creating,stanno creando,they are creating
risultare,to result/turn out,sto risultando,I am resulting,stai risultando,you are resulting,sta risultando,he/she is resulting,stiamo risultando,we are resulting,state risultando,you all are resulting,stanno risultando,they are resulting
garantire,to guarantee,sto garantendo,I am guaranteeing,stai garantendo,you are guaranteeing,sta garantendo,he/she is guaranteeing,stiamo garantendo,we are guaranteeing,state garantendo,you all are guaranteeing,stanno garantendo,they are guaranteeing
approvare,to approve,sto approvando,I am approving,stai approvando,you are approving,sta approvando,he/she is approving,stiamo approvando,we are approving,state approvando,you all are approving,stanno approvando,they are approving
vivere,to live,sto vivendo,I am living,stai vivendo,you are living,sta vivendo,he/she is living,stiamo vivendo,we are living,state vivendo,you all are living,stanno vivendo,they are living
ottenere,to obtain,sto ottenendo,I am obtaining,stai ottenendo,you are obtaining,sta ottenendo,he/she is obtaining,stiamo ottenendo,we are obtaining,state ottenendo,you all are obtaining,stanno ottenendo,they are obtaining
presentare,to present,sto presentando,I am presenting,stai presentando,you are presenting,sta presentando,he/she is presenting,stiamo presentando,we are presenting,state presentando,you all are presenting,stanno presentando,they are presenting
significare,to mean,sto significando,I am meaning,stai significando,you are meaning,sta significando,he/she is meaning,stiamo significando,we are meaning,state significando,you all are meaning,stanno significando,they are meaning
venire,to come,sto venendo,I am coming,stai venendo,you are coming,sta venendo,he/she is coming,stiamo venendo,we are coming,state venendo,you all are coming,stanno venendo,they are coming
esistere,to exist,sto esistendo,I am existing,stai esistendo,you are existing,sta esistendo,he/she is existing,stiamo esistendo,we are existing,state esistendo,you all are existing,stanno esistendo,they are existing
parere,to seem,sto parendo,I am seeming,stai parendo,you are seeming,sta parendo,he/she is seeming,stiamo parendo,we are seeming,state parendo,you all are seeming,stanno parendo,they are seeming
rappresentare,to represent,sto rappresentando,I am representing,stai rappresentando,you are representing,sta rappresentando,he/she is representing,stiamo rappresentando,we are representing,state rappresentando,you all are representing,stanno rappresentando,they are representing
continuare,to continue,sto continuando,I am continuing,stai continuando,you are continuing,sta continuando,he/she is continuing,stiamo continuando,we are continuing,state continuando,you all are continuing,stanno continuando,they are continuing
rendere,to render,sto rendendo,I am making/rendering,stai rendendo,you are making/rendering,sta rendendo,he/she is making/rendering,stiamo rendendo,we are making/rendering,state rendendo,you all are making/rendering,stanno rendendo,they are making/rendering
pubblicare,to publish,sto pubblicando,I am publishing,stai pubblicando,you are publishing,sta pubblicando,he/she is publishing,stiamo pubblicando,we are publishing,state pubblicando,you all are publishing,stanno pubblicando,they are publishing
decidere,to decide,sto decidendo,I am deciding,stai decidendo,you are deciding,sta decidendo,he/she is deciding,stiamo decidendo,we are deciding,state decidendo,you all are deciding,stanno decidendo,they are deciding
conoscere,to know,sto conoscendo,I am knowing,stai conoscendo,you are knowing,sta conoscendo,he/she is knowing,stiamo conoscendo,we are knowing,state conoscendo,you all are knowing,stanno conoscendo,they are knowing
intendere,to intend,sto intendendo,I am intending,stai intendendo,you are intending,sta intendendo,he/she is intending,stiamo intendendo,we are intending,state intendendo,you all are intending,stanno intendendo,they are intending
realizzare,to realize,sto realizzando,I am realizing,stai realizzando,you are realizing,sta realizzando,he/she is realizing,stiamo realizzando,we are realizing,state realizzando,you all are realizing,stanno realizzando,they are realizing
bastare,to suffice,sto bastando,I am sufficing,stai bastando,you are sufficing,sta bastando,he/she is sufficing,stiamo bastando,we are sufficing,state bastando,you all are sufficing,stanno bastando,they are sufficing
chiedere,to ask,sto chiedendo,I am asking,stai chiedendo,you are asking,sta chiedendo,he/she is asking,stiamo chiedendo,we are asking,state chiedendo,you all are asking,stanno chiedendo,they are asking
portare,to carry,sto portando,I am carrying/bringing,stai portando,you are carrying/bringing,sta portando,he/she is carrying/bringing,stiamo portando,we are carrying/bringing,state portando,you all are carrying/bringing,stanno portando,they are carrying/bringing
diventare,to become,sto diventando,I am becoming,stai diventando,you are becoming,sta diventando,he/she is becoming,stiamo diventando,we are becoming,state diventando,you all are becoming,stanno diventando,they are becoming
apparire,to appear,sto apparendo,I am appearing,stai apparendo,you are appearing,sta apparendo,he/she is appearing,stiamo apparendo,we are appearing,state apparendo,you all are appearing,stanno apparendo,they are appearing
ritenere,to consider,sto ritenendo,I am considering/thinking,stai ritenendo,you are considering/thinking,sta ritenendo,he/she is considering/thinking,stiamo ritenendo,we are considering/thinking,state ritenendo,you all are considering/thinking,stanno ritenendo,they are considering/thinking
proporre,to propose,sto proponendo,I am proposing,stai proponendo,you are proposing,sta proponendo,he/she is proposing,stiamo proponendo,we are proposing,state proponendo,you all are proposing,stanno proponendo,they are proposing
