Word,Infinitive,English_Translation,Word_Type,Jaro_Score
e,e,and,conj,0.0
non,non,not,adv,0.7777777777777777
che,che,that,"conj, pron",0.5277777777777778
di,di,of,prep,0.0
la,il,the,"art, f, sg",0.0
il,il,the,"art, m, sg",0.0
un,uno,a,"art, num",0.0
a,a,to,prep,0.0
per,per,for,prep,0.5555555555555555
è,essere,to be,verb,0.0
in,in,in,prep,1.0
una,uno,a,"art, f, num, sg",0.0
mi,mi,me,"pron, obj, dir obj, indir obj",0.6666666666666666
sono,essere,to be,verb,0.48333333333333334
ho,avere,to have,verb,0.5476190476190476
l',il,the,art,0.0
si,si,oneself,pron,0.0
ha,avere,has,verb,0.8888888888888888
ma,ma,but,conj,0.0
lo,il,the,"art, pron",0.0
cosa,cosa,thing,nf,0.0
con,con,with,prep,0.0
no,no,no,adv,1.0
le,il,the,"art, f, pl",0.0
ti,ti,you,"pron, dir obj, indir obj",0.0
se,se,if,conj,0.0
da,da,from,prep,0.0
i,il,the,"art, m, pl",0.0
come,come,how,"adv, conj",0.5277777777777778
io,io,I,pron,0.0
ci,ci,there,"pron, adv",0.0
hai,avere,you have,verb,0.0
questo,questo,this,"adj, pron",0.47222222222222215
bene,bene,well,"adv, nm",0.5
qui,qui,here,adv,0.0
sei,essere,six,"num, verb",0.5555555555555555
del,di,of the,"art, prep",0.0
tu,tu,you,pron,0.0
solo,solo,alone,"adj, adv",0.4666666666666666
mio,mio,my,"adj, pron",0.611111111111111
al,al,to the,prep,0.0
me,me,me,"pron, obj, dir obj, indir obj",1.0
tutto,tutto,all,"adj, pron, m, sg",0.0
c',esserci,there is,verb,0.0
te,tu,you,"pron, obj",0.0
era,essere,was,verb,0.0
della,di,of the,"prep, art",0.0
mia,mio,my,"adj, pron",0.611111111111111
fatto,fare,done,"adj, nm, verb",0.0
fare,fare,to do,"verb, nm",0.0
essere,essere,to be,"verb, nm",0.45555555555555555
so,sapere,to know,verb,0.5476190476190476
quando,quando,when,"adv, conj, pron",0.47222222222222215
sì,sì,yes,"adv, nm",0.0
ora,ora,now,"adv, nf",0.0
lei,lei,she,pron,0.0
gli,il,the,"art, pl, m",0.0
ne,ne,of it,"pron, adv",0.0
oh,oh,oh,interj,1.0
questa,questo,this,"adj, pron, f, sg",0.47222222222222215
detto,dire,said,"verb, nm",0.0
