italian,function
a,preposizione
abbandonare,verbo transitivo
abbassare,verbo transitivo
abbastanza,avverbio
abbonamento,sostantivo
abbondante,aggettivo
abbracciare,verbo transitivo
abbraccio,sostantivo
abile,aggettivo
abilità,sostantivo
abitante,sostantivo
abitare,verbo intransitivo
abitazione,sostantivo
abituarsi,verbo riflessivo
abitudine,sostantivo
accadere,verbo intransitivo
accanto,avverbio
accarezzare,verbo transitivo
accelerare,verbo intransitivo
accendere,verbo transitivo
accendino,sostantivo
accento,sostantivo
accettare,verbo transitivo
accidenti,interiezione
accogliere,verbo transitivo
accomodarsi,verbo intransitivo pronominale
accompagnare,verbo transitivo
acconto,sostantivo
accordo,sostantivo
accorgersi,verbo intransitivo pronominale
accusare,verbo transitivo
aceto,sostantivo
acido,aggettivo
acqua,sostantivo
acquistare,verbo transitivo
adatto,aggettivo
addetto/a,sostantivo
addio,interiezione
addormentarsi,verbo intransitivo pronominale
adesso,avverbio
adolescente,sostantivo
adoperare,verbo transitivo
adorare,verbo transitivo
adottare,verbo transitivo
adulto/a,aggettivo - sostantivo
aereo(aeroplano),sostantivo
aeroporto,sostantivo
affare,sostantivo
affatto,avverbio
affermare,verbo transitivo
affermazione,sostantivo
affetto,sostantivo
affettuoso,aggettivo
affinché,congiunzione
affittare,verbo transitivo
affitto,sostantivo
affrontare,verbo transitivo
agenzia,sostantivo
aggiungere,verbo transitivo
aggiustare,verbo transitivo
agio,sostantivo
aglio,sostantivo
agosto,sostantivo
agricoltura,sostantivo
agriturismo,sostantivo
aiutare,verbo transitivo
aiuto,interiezione - sostantivo
alba,sostantivo
albergo,sostantivo
albero,sostantivo
alcuno,aggettivo
alfabeto,sostantivo
alimentari,sostantivo plurale
alimentazione,sostantivo
allarme,sostantivo
allegro,aggettivo
allergico,aggettivo
alloggio,sostantivo
allontanarsi,verbo intransitivo pronominale
allora,avverbio
almeno,avverbio
alto,aggettivo
altrettanto,aggettivo
altrimenti,avverbio
altro,pronome - aggettivo
alzarsi,verbo riflessivo
amare,verbo transitivo
amaro,aggettivo
ambasciata,sostantivo
ambiente,sostantivo
ambulanza,sostantivo
ambulatorio,sostantivo
amicizia,sostantivo
amico/a,sostantivo
ammalarsi,verbo intransitivo pronominale
ammazzare,verbo transitivo
ammettere,verbo transitivo
amministratore/trice,sostantivo
ammirare,verbo transitivo
ammobiliato,aggettivo
amore,sostantivo
ampio,aggettivo
analisi,sostantivo
anche,congiunzione
ancora,avverbio
andare,verbo intransitivo
andarsene,verbo intransitivo pronominale
anello,sostantivo
angolo,sostantivo
animale,sostantivo
anno,sostantivo
annoiarsi,verbo intransitivo pronominale
annullare,verbo transitivo
annuncio,sostantivo
ansia,sostantivo
ansioso,aggettivo
anticipo,sostantivo
antico,aggettivo
antipasto,sostantivo
antipatico,aggettivo
anziano/a,aggettivo - sostantivo
aperitivo,sostantivo
