italian,function
a,preposizione
abbastanza,avverbio
abbonamento,sostantivo
abbracciare,verbo transitivo
abbraccio,sostantivo
abitare,verbo intransitivo
accendere,verbo transitivo
accendino,sostantivo
accompagnare,verbo transitivo
accordo,sostantivo
aceto,sostantivo
acqua,sostantivo
acquistare,verbo transitivo
addio,interiezione
addormentarsi,verbo intransitivo pronominale
adesso,avverbio
adulto/a,aggettivo - sostantivo
aereo(aeroplano),sostantivo
aeroporto,sostantivo
affetto,sostantivo
affittare,verbo transitivo
affitto,sostantivo
agenzia,sostantivo
agosto,sostantivo
aiutare,verbo transitivo
aiuto,interiezione - sostantivo
albergo,sostantivo
albero,sostantivo
alcuno,aggettivo
alfabeto,sostantivo
alimentari,sostantivo plurale
allegro,aggettivo
allora,avverbio
alto,aggettivo
altro,pronome - aggettivo
alzarsi,verbo riflessivo
amare,verbo transitivo
amaro,aggettivo
ambasciata,sostantivo
amico/a,sostantivo
amore,sostantivo
anche,congiunzione
ancora,avverbio
andare,verbo intransitivo
anello,sostantivo
animale,sostantivo
anno,sostantivo
annoiarsi,verbo intransitivo pronominale
anticipo,sostantivo
antico,aggettivo
antipasto,sostantivo
antipatico,aggettivo
anziano/a,aggettivo - sostantivo
aperitivo,sostantivo
appartamento,sostantivo
appena,avverbio
appetito,sostantivo
appuntamento,sostantivo
aprile,sostantivo
aprire,verbo transitivo
arancia,sostantivo
arancione,aggettivo
argento,sostantivo
aria,sostantivo
armadio,sostantivo
arrabbiarsi,verbo intransitivo pronominale
arrivare,verbo intransitivo
arrivederci,interiezione
arrivo,sostantivo
arrosto,sostantivo
arte,sostantivo
articolo,sostantivo
ascensore,sostantivo
asciugamano,sostantivo
asciugare/si,verbo transitivo - verbo riflessivo - verbo transitivo pronominale
ascoltare,verbo transitivo
aspettare,verbo transitivo
attento,aggettivo
attenzione,sostantivo
attraversare,verbo transitivo
augurio,sostantivo
aula,sostantivo
auto,mobile
autobus,sostantivo
autostrada,sostantivo
autunno,sostantivo
avanti,avverbio
avere,verbo transitivo
azzurro,aggettivo
baciare,verbo transitivo
bacio,sostantivo
baffo,sostantivo
bagno,sostantivo
balcone,sostantivo
ballare,verbo intransitivo
bambino/a,sostantivo
bambola,sostantivo
banana,sostantivo
banca,sostantivo
banco,sostantivo
bar,sostantivo
barba,sostantivo
barca,sostantivo
basso,aggettivo
basta,interiezione
bello,aggettivo
bene,avverbio
benvenuto,aggettivo
benzina,sostantivo
bere,verbo transitivo
bianco,aggettivo
bibita,sostantivo
biblioteca,sostantivo
bicchiere,sostantivo
bicicletta,sostantivo
biglietteria,sostantivo
biglietto,sostantivo
biondo,aggettivo
birra,sostantivo
bisogno,sostantivo
bistecca,sostantivo
blu,aggettivo
bocca,sostantivo
borsa,sostantivo
bosco,sostantivo
bottiglia,sostantivo
braccio,sostantivo
bravo,aggettivo - interiezione
brutto,aggettivo
buio,sostantivo
buonanotte,interiezione
buonasera,interiezione
buongiorno,interiezione
buono,aggettivo
burro,sostantivo
busta,sostantivo
caffè,sostantivo
calcio,sostantivo
caldo,aggettivo - sostantivo
calmo,aggettivo
calza,sostantivo
cambiare,verbo transitivo
camera,sostantivo
cameriere/a,sostantivo
camicia,sostantivo
camminare,verbo intransitivo
campagna,sostantivo
campeggio,sostantivo
camper,sostantivo
cane,sostantivo
cantare,verbo transitivo
cantina,sostantivo
canzone,sostantivo
capello,sostantivo
capire,verbo transitivo
capo,sostantivo
cappello,sostantivo
cappotto,sostantivo
cappuccino,sostantivo
carne,sostantivo
caro,aggettivo
carota,sostantivo
carta,sostantivo
cartolina,sostantivo
casa,sostantivo
casalingo/a,sostantivo
cassa,sostantivo
castano,aggettivo
cattivo,aggettivo
cavallo,sostantivo
cd,sostantivo
cellulare,sostantivo
cena,sostantivo
cenare,verbo intransitivo
centimetro,sostantivo
centro,sostantivo
cercare,verbo transitivo
certo,avverbio
che,pronome - congiunzione
check-in,sostantivo
chi,pronome
chiamare/si,verbo transitivo - verbo intransitivo pronominale
chiaro,aggettivo
chiave,sostantivo
chiedere,verbo transitivo
chiesa,sostantivo
chilo,sostantivo
chilometro,sostantivo
chiudere,verbo transitivo
ci,particella pronominale - pronome
ciao,interiezione
cibo,sostantivo
cielo,sostantivo
cin-cin,interiezione
cinema,sostantivo
cioccolato,sostantivo
circa,avverbio
città,sostantivo
classe,sostantivo
cognato/a,sostantivo
cognome,sostantivo
colazione,sostantivo
collana,sostantivo
collega,sostantivo
collina,sostantivo
colorare,verbo transitivo
colore,sostantivo
coltello,sostantivo
come,avverbio
cominciare,verbo transitivo - verbo intransitivo
commesso/a,sostantivo
comodino,sostantivo
comodo,aggettivo
compagno/a,sostantivo
compito,sostantivo
compleanno,sostantivo
completo,aggettivo
complimento,sostantivo
comprare,verbo transitivo
computer,sostantivo
con,preposizione
concerto,sostantivo
confine,sostantivo
congratulazione,sostantivo
conoscere,verbo transitivo
consolato,sostantivo
contento,aggettivo
continuare,verbo transitivo
conto,sostantivo
contorno,sostantivo
conversazione,sostantivo
coperta,sostantivo
coppia,sostantivo
corpo,sostantivo
correggere,verbo transitivo
correre,verbo intransitivo
corso,sostantivo
corto,aggettivo
cosa,sostantivo
così,avverbio
costare,verbo transitivo
costo,sostantivo
cotone,sostantivo
credere,verbo transitivo
credito,sostantivo
crema,sostantivo
crociera,sostantivo
cucchiaio,sostantivo
cucina,sostantivo
cucinare,verbo transitivo
cugino/a,sostantivo
cultura,sostantivo
cuscino,sostantivo
da,preposizione
dare,verbo transitivo
data,sostantivo
davanti,avverbio - preposizione
debole,aggettivo
dente,sostantivo
dentifricio,sostantivo
dentro,avverbio - preposizione
destra,sostantivo
dettato,sostantivo
di,preposizione
dialogo,sostantivo
dicembre,sostantivo
dietro,avv.- prep.
difficile,aggettivo
dimenticare/si,v.t. – v. int. pron.
dipingere,verbo transitivo
dipinto,sostantivo
dire,verbo transitivo
direttore/trice,sostantivo
discoteca,sostantivo
disegnare,verbo transitivo
dispiacere,verbo intransitivo
distributore,sostantivo
dito,sostantivo
ditta,sostantivo
divano,sostantivo
diverso,aggettivo
divertente,aggettivo
divertimento,sostantivo
divertirsi,verbo riflessivo
divorziare,verbo intransitivo
dizionario,sostantivo
doccia,sostantivo
documento,sostantivo
dogana,sostantivo
dolce,aggettivo - sostantivo
domanda,sostantivo
domandare,verbo transitivo
domani,avverbio
domenica,sostantivo
donna,sostantivo
dopo,avverbio
doppio,aggettivo
dormire,verbo intransitivo
dottore/ssa,sostantivo
dove,avverbio
dovere,verbo intransitivo
dritto,avverbio
durante,preposizione
e,congiunzione
ecco,locuzione
economia,sostantivo
elegante,aggettivo
elementare,aggettivo
e-mail,sostantivo
entrare,verbo intransitivo
entrata,sostantivo
erba,sostantivo
errore,sostantivo
esame,sostantivo
esempio,sostantivo
esercizio,sostantivo
essere,verbo intransitivo
est,sostantivo
estate,sostantivo
estero,sostantivo
età,sostantivo
etto,sostantivo
euro,sostantivo
fabbrica,sostantivo
faccia,sostantivo
facile,aggettivo
facoltà,sostantivo
falso,aggettivo
fame,sostantivo
famiglia,sostantivo
fare,verbo transitivo
farmacia,sostantivo
fattoria,sostantivo
favore,sostantivo
fax,sostantivo
febbraio,sostantivo
febbre,sostantivo
felice,aggettivo
femmina,sostantivo
femminile,aggettivo
fermarsi,verbo intransitivo pronominale
fermata,sostantivo
fermo,agg
ferro,sostantivo
festa,sostantivo
fetta,sostantivo
fiammifero,sostantivo
fidanzato/a,sostantivo
figlio/a,sostantivo
film,sostantivo
fine,sostantivo
finestra,sostantivo
finire,verbo transitivo - verbo intransitivo
fino,preposizione
fiore,sostantivo
firma,sostantivo
firmare,verbo transitivo
fiume,sostantivo
foglio,sostantivo
forchetta,sostantivo
formaggio,sostantivo
fornello,sostantivo
forno,sostantivo
forse,avverbio
forte,aggettivo
fortuna,sostantivo
fotografia,sostantivo
fra,preposizione
francobollo,sostantivo
frase,sostantivo
fratello,sostantivo
freddo,sostantivo - aggettivo
freezer,sostantivo
frequentare,verbo transitivo
fresco,aggettivo
frigorifero,sostantivo
fronte,sostantivo
frutta,sostantivo
fulmine,sostantivo
fumare,verbo transitivo
fuoco,sostantivo
fuori,avverbio
gamba,sostantivo
garage,sostantivo
gas,sostantivo
gatto,sostantivo
gelato,sostantivo
genero,sostantivo
genitore,sostantivo
gennaio,sostantivo
gentile,aggettivo
geografia,sostantivo
ghiaccio,sostantivo
già,avverbio
giacca,sostantivo
giallo,aggettivo
giardino,sostantivo
ginnastica,sostantivo
giocare,verbo intransitivo
giocattolo,sostantivo
gioco,sostantivo
giornale,sostantivo
giornalista,sostantivo
giornata,sostantivo
giorno,sostantivo
giovane,aggettivo
giovedì,sostantivo
girare,verbo intransitivo
giro,sostantivo
gita,sostantivo
giù,avverbio
giugno,sostantivo
giusto,aggettivo
gli,art. - pron.
gonna,sostantivo
grado,sostantivo
grande,aggettivo
grasso,aggettivo
gratis,avverbio
grazie,interiezione
grigio,aggettivo
guanto,sostantivo
guardare,verbo transitivo
guida,sostantivo
guidare,verbo transitivo
hobby,sostantivo
hotel,sostantivo
i,articolo
idea,sostantivo
identità,sostantivo
ieri,avverbio
il,articolo
imparare,verbo transitivo
impermeabile,sostantivo
impiegato/a,sostantivo
importante,aggettivo
impossibile,aggettivo
in,preposizione
incontrare/si,v.t.  - v. rifl. recip.
indietro,avverbio
indirizzo,sostantivo
indossare,verbo transitivo
industria,sostantivo
infermiere/a,sostantivo
informazione,sostantivo
ingegnere,sostantivo
iniziare,verbo transitivo - verbo intransitivo
inizio,sostantivo
insalata,sostantivo
insegnante,sostantivo
insegnare,verbo transitivo
insieme,avverbio
intelligente,aggettivo
interessante,aggettivo
internazionale,aggettivo
internet,sostantivo
intorno,avverbio
inutile,aggettivo
inverno,sostantivo
invitare,verbo transitivo
io,pronome
