italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
essere,to be,sono stato/a,I have been,sei stato/a,you have been,è stato/a,he/she has been,siamo stati/e,we have been,siete stati/e,you all have been,sono stati/e,they have been
potere,to be able to,ho potuto,I have been able to,hai potuto,you have been able to,ha potuto,he/she has been able to,abbiamo potuto,we have been able to,avete potuto,you all have been able to,hanno potuto,they have been able to
avere,to have,ho avuto,I have had,hai avuto,you have had,ha avuto,he/she has had,abbiamo avuto,we have had,avete avuto,you all have had,hanno avuto,they have had
fare,to do/make,ho fatto,I have done/made,hai fatto,you have done/made,ha fatto,he/she has done/made,abbiamo fatto,we have done/made,avete fatto,you all have done/made,hanno fatto,they have done/made
dovere,to have to/must,ho dovuto,I have had to,hai dovuto,you have had to,ha dovuto,he/she has had to,abbiamo dovuto,we have had to,avete dovuto,you all have had to,hanno dovuto,they have had to
dire,to say,ho detto,I have said/told,hai detto,you have said/told,ha detto,he/she has said/told,abbiamo detto,we have said/told,avete detto,you all have said/told,hanno detto,they have said/told
dettare,to dictate,ho dettato,I have dictated,hai dettato,you have dictated,ha dettato,he/she has dictated,abbiamo dettato,we have dictated,avete dettato,you all have dictated,hanno dettato,they have dictated
stare,to stay/be,sono stato/a,I have stayed/been,sei stato/a,you have stayed/been,è stato/a,he/she has stayed/been,siamo stati/e,we have stayed/been,siete stati/e,you all have stayed/been,sono stati/e,they have stayed/been
andare,to go,sono andato/a,I have gone,sei andato/a,you have gone,è andato/a,he/she has gone,siamo andati/e,we have gone,siete andati/e,you all have gone,sono andati/e,they have gone
sembrare,to seem,sono sembrato/a,I have seemed,sei sembrato/a,you have seemed,è sembrato/a,he/she has seemed,siamo sembrati/e,we have seemed,siete sembrati/e,you all have seemed,sono sembrati/e,they have seemed
dare,to give,ho dato,I have given,hai dato,you have given,ha dato,he/she has given,abbiamo dato,we have given,avete dato,you all have given,hanno dato,they have given
trarre,to pull/draw,ho tratto,I have drawn/extracted,hai tratto,you have drawn/extracted,ha tratto,he/she has drawn/extracted,abbiamo tratto,we have drawn/extracted,avete tratto,you all have drawn/extracted,hanno tratto,they have drawn/extracted
trattare,to treat/deal with,ho trattato,I have treated/dealt with,hai trattato,you have treated/dealt with,ha trattato,he/she has treated/dealt with,abbiamo trattato,we have treated/dealt with,avete trattato,you all have treated/dealt with,hanno trattato,they have treated/dealt with
riguardare,to concern/refer to,ho riguardato,I have looked at/concerned,hai riguardato,you have looked at/concerned,ha riguardato,he/she has looked at/concerned,abbiamo riguardato,we have looked at/concerned,avete riguardato,you all have looked at/concerned,hanno riguardato,they have looked at/concerned
vedere,to see,ho visto,I have seen,hai visto,you have seen,ha visto,he/she has seen,abbiamo visto,we have seen,avete visto,you all have seen,hanno visto,they have seen
scrivere,to write,ho scritto,I have written,hai scritto,you have written,ha scritto,he/she has written,abbiamo scritto,we have written,avete scritto,you all have written,hanno scritto,they have written
datare,to date,ho datato,I have dated,hai datato,you have dated,ha datato,he/she has dated,abbiamo datato,we have dated,avete datato,you all have dated,hanno datato,they have dated
volere,to want,ho voluto,I have wanted,hai voluto,you have wanted,ha voluto,he/she has wanted,abbiamo voluto,we have wanted,avete voluto,you all have wanted,hanno voluto,they have wanted
sapere,to know,ho saputo,I have known,hai saputo,you have known,ha saputo,he/she has known,abbiamo saputo,we have known,avete saputo,you all have known,hanno saputo,they have known
parlare,to speak,ho parlato,I have spoken,hai parlato,you have spoken,ha parlato,he/she has spoken,abbiamo parlato,we have spoken,avete parlato,you all have spoken,hanno parlato,they have spoken
