italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
essere,to be,sono,I am,sei,you are,è,he/she is,siamo,we are,siete,you all are,sono,they are
potere,to be able to,posso,I can,puoi,you can,può,he/she can,possiamo,we can,potete,you all can,possono,they can
avere,to have,ho,I have,hai,you have,ha,he/she has,abbiamo,we have,avete,you all have,hanno,they have
fare,to do/make,faccio,I do,fai,you do,fa,he/she does,facciamo,we do,fate,you all do,fanno,they do
dovere,to have to/must,devo,I must,devi,you must,deve,he/she must,dobbiamo,we must,dovete,you all must,devono,they must
dire,to say,dico,I say,dici,you say,dice,he/she says,diciamo,we say,dite,you all say,dicono,they say
dettare,to dictate,detto,I dictate,detti,you dictate,detta,he/she dictates,dettiamo,we dictate,dettate,you all dictate,dettano,they dictate
stare,to stay/be,sto,I stay/am,stai,you stay/are,sta,he/she stays/is,stiamo,we stay/are,state,you all stay/are,stanno,they stay/are
andare,to go,vado,I go,vai,you go,va,he/she goes,andiamo,we go,andate,you all go,vanno,they go
sembrare,to seem,sembro,I seem,sembri,you seem,sembra,he/she seems,sembriamo,we seem,sembrate,you all seem,sembrano,they seem
dare,to give,do,I give,dai,you give,dà,he/she gives,diamo,we give,date,you all give,danno,they give
trarre,to pull/draw,traggo,I pull/draw,trai,you pull/draw,trae,he/she pulls/draws,traiamo,we pull/draw,traete,you all pull/draw,traggono,they pull/draw
trattare,to treat/deal with,tratto,I treat/handle,tratti,you treat/handle,tratta,he/she treats/handles,trattiamo,we treat/handle,trattate,you all treat/handle,trattano,they treat/handle
riguardare,to concern/refer to,riguardo,I concern/watch,riguardi,you concern/watch,riguarda,he/she concerns/watches,riguardiamo,we concern/watch,riguardate,you all concern/watch,riguardano,they concern/watch
vedere,to see,vedo,I see,vedi,you see,vede,he/she sees,vediamo,we see,vedete,you all see,vedono,they see
scrivere,to write,scrivo,I write,scrivi,you write,scrive,he/she writes,scriviamo,we write,scrivete,you all write,scrivono,they write
datare,to date,dato,I date,dati,you date,data,he/she dates,datiamo,we date,datate,you all date,datano,they date
volere,to want,voglio,I want,vuoi,you want,vuole,he/she wants,vogliamo,we want,volete,you all want,vogliono,they want
sapere,to know,so,I know,sai,you know,sa,he/she knows,sappiamo,we know,sapete,you all know,sanno,they know
parlare,to speak,parlo,I speak,parli,you speak,parla,he/she speaks,parliamo,we speak,parlate,you all speak,parlano,they speak
credere,to believe,credo,I believe,credi,you believe,crede,he/she believes,crediamo,we believe,credete,you all believe,credono,they believe
trovare,to find,trovo,I find,trovi,you find,trova,he/she finds,troviamo,we find,trovate,you all find,trovano,they find
prevedere,to foresee/predict,prevedo,I foresee,prevedi,you foresee,prevede,he/she foresees,prevediamo,we foresee,prevedete,you all foresee,prevedono,they foresee
partire,to leave,parto,I leave,parti,you leave,parte,he/she leaves,partiamo,we leave,partite,you all leave,partono,they leave
capire,to understand,capisco,I understand,capisci,you understand,capisce,he/she understands,capiamo,we understand,capite,you all understand,capiscono,they understand
pensare,to think,penso,I think,pensi,you think,pensa,he/she thinks,pensiamo,we think,pensate,you all think,pensano,they think
mettere,to put,metto,I put,metti,you put,mette,he/she puts,mettiamo,we put,mettete,you all put,mettono,they put
prendere,to take,prendo,I take,prendi,you take,prende,he/she takes,prendiamo,we take,prendete,you all take,prendono,they take
inviare,to send,invio,I send,invii,you send,invia,he/she sends,inviamo,we send,inviate,you all send,inviano,they send
evitare,to avoid,evito,I avoid,eviti,you avoid,evita,he/she avoids,evitiamo,we avoid,evitate,you all avoid,evitano,they avoid
bisognare,to be necessary,bisogno,I need,bisogni,you need,bisogna,it is necessary,bisogniamo,we need,bisognate,you all need,bisognano,they need
creare,to create,creo,I create,crei,you create,crea,he/she creates,creiamo,we create,create,you all create,creano,they create
risultare,to result/turn out,risulto,I result,risulti,you result,risulta,he/she results,risultiamo,we result,risultate,you all result,risultano,they result
garantire,to guarantee,garantisco,I guarantee,garantisci,you guarantee,garantisce,he/she guarantees,garantiamo,we guarantee,garantite,you all guarantee,garantiscono,they guarantee
