english,italian,type,theme
dog,il cane,noun,Animal
cat,il gatto,noun,Animal
fish,il pesce,noun,Animal
bird,l'uccello,noun,Animal
cow,la mucca,noun,Animal
pig,il maiale,noun,Animal
mouse,il topo,noun,Animal
horse,il cavallo,noun,Animal
wing,l'ala,noun,Animal
animal,l'animale,noun,Animal
train,il treno,noun,Transportation
plane,l'aereo,noun,Transportation
car,la macchina,noun,Transportation
truck,il camion,noun,Transportation
bicycle,la bicicletta,noun,Transportation
bus,l'autobus,noun,Transportation
boat,la barca,noun,Transportation
ship,la nave,noun,Transportation
tire,lo pneumatico,noun,Transportation
gasoline,la benzina,noun,Transportation
engine,il motore,noun,Transportation
ticket,il biglietto,noun,Transportation
transportation,il trasporto,noun,Transportation
city,la città,noun,Location
house,la casa,noun,Location
apartment,l'appartamento,noun,Location
street,la strada,noun,Location
airport,l'aeroporto,noun,Location
train station,la stazione,noun,Location
bridge,il ponte,noun,Location
hotel,l'hotel,noun,Location
restaurant,il ristorante,noun,Location
farm,la fattoria,noun,Location
court,il tribunale,noun,Location
school,la scuola,noun,Location
office,l'ufficio,noun,Location
room,la stanza,noun,Location
town,il paese,noun,Location
university,l'università,noun,Location
club,il club,noun,Location
bar,il bar,noun,Location
park,il parco,noun,Location
camp,il campo,noun,Location
store,il negozio,noun,Location
theater,il teatro,noun,Location
library,la biblioteca,noun,Location
hospital,l'ospedale,noun,Location
church,la chiesa,noun,Location
market,il mercato,noun,Location
country,il paese,noun,Location
building,l'edificio,noun,Location
ground,il suolo,noun,Location
space,lo spazio,noun,Location
bank,la banca,noun,Location
location,la posizione,noun,Location
hat,il cappello,noun,Clothing
dress,il vestito,noun,Clothing
suit,il completo,noun,Clothing
skirt,la gonna,noun,Clothing
shirt,la camicia,noun,Clothing
T-shirt,la maglietta,noun,Clothing
pants,i pantaloni,noun,Clothing
shoes,le scarpe,noun,Clothing
pocket,la tasca,noun,Clothing
coat,il cappotto,noun,Clothing
stain,la macchia,noun,Clothing
clothing,l'abbigliamento,noun,Clothing
red,rosso,adjective,Color
green,verde,adjective,Color
blue,blu,adjective,Color
yellow,giallo,adjective,Color
brown,marrone,adjective,Color
pink,rosa,adjective,Color
orange,arancione,adjective,Color
black,nero,adjective,Color
white,bianco,adjective,Color
gray,grigio,adjective,Color
color,il colore,noun,Color
son,il figlio,noun,People
daughter,la figlia,noun,People
mother,la madre,noun,People
father,il padre,noun,People
parent,il genitore,noun,People
baby,il neonato,noun,People
man,l'uomo,noun,People
woman,la donna,noun,People
brother,il fratello,noun,People
sister,la sorella,noun,People
family,la famiglia,noun,People
grandfather,il nonno,noun,People
grandmother,la nonna,noun,People
husband,il marito,noun,People
wife,la moglie,noun,People
king,il re,noun,People
queen,la regina,noun,People
president,il presidente,noun,People
neighbor,il vicino,noun,People
boy,il ragazzo,noun,People
girl,la ragazza,noun,People
child,il bambino,noun,People
adult,l'adulto,noun,People
human,l'essere umano,noun,People
friend,l'amico,noun,People
victim,la vittima,noun,People
player,il giocatore,noun,People
fan,il tifoso,noun,People
crowd,la folla,noun,People
person,la persona,noun,People
teacher,l'insegnante,noun,Job
student,lo studente,noun,Job
lawyer,l'avvocato,noun,Job
doctor,il medico,noun,Job
patient,il paziente,noun,Job
waiter,il cameriere,noun,Job
secretary,la segretaria,noun,Job
priest,il prete,noun,Job
police,la polizia,noun,Job
army,l'esercito,noun,Job
soldier,il soldato,noun,Job
artist,l'artista,noun,Job
author,l'autore,noun,Job
manager,il manager,noun,Job
reporter,il giornalista,noun,Job
actor,l'attore,noun,Job
job,il lavoro,noun,Job
religion,la religione,noun,Society
heaven,il paradiso,noun,Society
hell,l'inferno,noun,Society
death,la morte,noun,Society
medicine,la medicina,noun,Society
money,i soldi,noun,Society
dollar,il dollaro,noun,Society
bill,la banconota,noun,Society
marriage,il matrimonio,noun,Society
wedding,il matrimonio,noun,Society
team,la squadra,noun,Society
relationship,la relazione,noun,Society
race (ethnicity),la razza,noun,Society
sex (the act),il sesso,noun,Society
sex (gender),il genere,noun,Society
murder,l'omicidio,noun,Society
prison,la prigione,noun,Society
technology,la tecnologia,noun,Society
energy,l'energia,noun,Society
war,la guerra,noun,Society
peace,la pace,noun,Society
attack,l'attacco,noun,Society
