italian,english
essere,to be
potere,to be able to
avere,to have
fare,to do/make
dovere,to have to/must
dire,to say
dettare,to dictate
stare,to stay/be
andare,to go
sembrare,to seem
dare,to give
trarre,to pull/draw
trattare,to treat/deal with
riguardare,to concern/refer to
vedere,to see
scrivere,to write
datare,to date
volere,to want
sapere,to know
parlare,to speak
credere,to believe
trovare,to find
prevedere,to foresee/predict
partire,to leave
capire,to understand
pensare,to think
mettere,to put
prendere,to take
inviare,to send
evitare,to avoid
bisognare,to be necessary
creare,to create
risultare,to result/turn out
garantire,to guarantee
approvare,to approve
vivere,to live
ottenere,to obtain
presentare,to present
significare,to mean
venire,to come
esistere,to exist
parere,to seem
rappresentare,to represent
continuare,to continue
rendere,to render
pubblicare,to publish
decidere,to decide
conoscere,to know
intendere,to intend
realizzare,to realize
bastare,to suffice
chiedere,to ask
portare,to carry
diventare,to become
apparire,to appear
ritenere,to consider
proporre,to propose
porgere,to offer/give
utilizzare,to utilize
tenere,to hold
arrivare,to arrive
occorrere,to need
raggiungere,to reach
restare,to remain
affrontare,to face
consentire,to allow
permettere,to permit
fornire,to provide
passare,to pass
cercare,to look for
valere,to be worth
lavorare,to work
spiegare,to explain
partecipare,to participate
usare,to use
offrire,to offer
ricordare,to remember
leggere,to read
riuscire,to succeed
costituire,to constitute
considerare,to consider
rimanere,to remain
rimare,to rhyme
entrare,to enter
costruire,to build
piacere,to please
rispondere,to respond
seguire,to follow
nascere,to be born
natare,to swim
promuovere,to promote
dichiarare,to declare
dedicare,to dedicate
definire,to define
sostenere,to support/sustain
assicurare,to ensure/insure
favorire,to favor
esprimere,to express
svolgere,to carry out/perform
porre,to place/put
postare,to post (online)
sentire,to feel/hear
servire,to serve/need
capitare,to happen
perdere,to lose
cambiare,to change
indicare,to indicate
procedere,to proceed
svoltare,to turn
avvenire,to happen
effettuare,to carry out
tornare,to return
verificare,to verify
stabilire,to establish
recare,to bring/carry
richiedere,to request
mantenere,to maintain
affermare,to affirm/state
lasciare,to leave
scegliere,to choose
migliorare,to improve
disporre,to arrange/dispose
chiamare,to call
valutare,to evaluate
individuare,to identify
provenire,to come from
derivare,to derive
pagare,to pay
ricevere,to receive
aggiungere,to add
superare,to overcome/exceed
iniziare,to start
intervenire,to intervene
aprire,to open
organizzare,to organize
contenere,to contain
uscire,to exit
ridurre,to reduce
comportare,to entail
modificare,to modify
risolvere,to resolve
guardare,to look
provvedere,to provide
inserire,to insert
cominciare,to begin
applicare,to apply
produrre,to produce
destinare,to earmark
comprendere,to understand/include
assumere,to assume/hire
sostituire,to replace
seguitare,to continue
sottolineare,to underline
accedere,to access
sviluppare,to develop
giocare,to play
dimostrare,to demonstrate
riconoscere,to recognize
adottare,to adopt
sperare,to hope
gestire,to manage
raccontare,to tell
comporre,to compose
aiutare,to help
mancare,to lack/miss
finire,to finish
operare,to operate
comunicare,to communicate
vincere,to win
occupare,to occupy
aumentare,to increase
succedere,to happen
consistere,to consist
agire,to act
concernere,to concern
scoprire,to discover
notare,to notice
provare,to try
accettare,to accept
discutere,to discuss
dipendere,to depend
osservare,to observe
legare,to tie
rischiare,to risk
crescere,to grow
interessare,to interest
mostrare,to show
riferire,to report
determinare,to determine
iscrivere,to enroll
riportare,to bring back
decorrere,to elapse
morire,to die
controllare,to control
ascoltare,to listen
confermare,to confirm
concludere,to conclude
coinvolgere,to involve
accadere,to happen
mangiare,to eat
rivolgere,to turn
rivoltare,to turn over
proseguire,to continue
registrare,to register
funzionare,to function
votare,to vote
compiere,to accomplish
rispettare,to respect
combattere,to fight
imparare,to learn
formare,to form
colpire,to hit
dimenticare,to forget
impegnare,to commit
difendere,to defend
appartenere,to belong
annunciare,to announce
tendere,to tend
fissare,to fix
riflettere,to reflect
firmare,to sign
salire,to go up
istituire,to establish
costringere,to force
eliminare,to eliminate
studiare,to study
contribuire,to contribute
rilevare,to detect
spettare,to be due
convincere,to convince
esercitare,to exercise
emergere,to emerge
raccogliere,to collect
invitare,to invite
uccidere,to kill
eleggere,to elect
salvare,to save
sbagliare,to make a mistake
acquisire,to acquire
aspettare,to wait
recuperare,to recover
chiudere,to close
diffondere,to spread
introdurre,to introduce
avviare,to start
acquistare,to buy
nominare,to name
amare,to love
condurre,to lead
vistare,to stamp/approve
contare,to count
fondare,to found
impedire,to prevent
rilasciare,to release
autorizzare,to authorize
precisare,to clarify
eseguire,to execute
ammettere,to admit
citare,to cite
soddisfare,to satisfy
visitare,to visit
segnalare,to signal
caratterizzare,to characterize
trasmettere,to transmit
imporre,to impose
correggere,to correct
basare,to base
sottoporre,to subject
immaginare,to imagine
correre,to run
vendere,to sell
ricorrere,to resort
approfondire,to deepen
rivelare,to reveal
condividere,to share
cadere,to fall
subire,to suffer
costare,to cost
affidare,to entrust
conseguire,to achieve
accompagnare,to accompany
revocare,to revoke
toccare,to touch
lanciare,to throw
assegnare,to assign
possedere,to possess
evidenziare,to highlight
sottoscrivere,to subscribe
fermare,to stop
riservare,to reserve
preferire,to prefer
corrispondere,to correspond
muovere,to move
terminare,to finish
prescindere,to prescind
accogliere,to welcome
dirigere,to direct
attribuire,to attribute
incontrare,to meet
attivare,to activate
importare,to import
valorizzare,to enhance
cogliere,to gather
attuare,to implement
scaricare,to download
farcire,to stuff
scendere,to descend
comprare,to buy
rafforzare,to strengthen
ridere,to laugh
meritare,to deserve
ringraziare,to thank
chiarire,to clarify
avvertire,to warn
giungere,to arrive
commentare,to comment
rientrare,to re-enter
bere,to drink
girare,to turn
prestare,to lend
rinunciare,to renounce
esporre,to expose
pervenire,to reach
predisporre,to prepare
tutelare,to protect
trasformare,to transform
